wavelength (AA) lower bin boundary,  wavelength (AA) upper bin boundary,  Efficiency, rel. err.
2.42937898E+00, 2.45061668E+00, 7.09534334E-01, 3.01514633E-02
2.45061668E+00, 2.47184874E+00, 7.10046797E-01, 2.99266406E-02
2.47184874E+00, 2.49308341E+00, 7.13855391E-01, 2.99675912E-02
2.49308341E+00, 2.51432095E+00, 7.14433444E-01, 2.97494190E-02
2.51432095E+00, 2.53555251E+00, 7.22949831E-01, 2.96649177E-02
2.53555251E+00, 2.55678955E+00, 7.23498975E-01, 2.94585231E-02
2.55678955E+00, 2.57802457E+00, 7.25753890E-01, 2.94482579E-02
2.57802457E+00, 2.59926077E+00, 7.30339316E-01, 2.89631204E-02
2.59926077E+00, 2.62049147E+00, 7.31599650E-01, 2.88875627E-02
2.62049147E+00, 2.64173254E+00, 7.35236115E-01, 2.88732280E-02
2.64173254E+00, 2.66296756E+00, 7.34985432E-01, 2.85550073E-02
2.66296756E+00, 2.68420277E+00, 7.38163815E-01, 2.85344899E-02
2.68420277E+00, 2.70543363E+00, 7.42103216E-01, 2.82948958E-02
2.70543363E+00, 2.72666822E+00, 7.41828411E-01, 2.80795409E-02
2.72666822E+00, 2.74790335E+00, 7.44118625E-01, 2.81152326E-02
2.74790335E+00, 2.76913617E+00, 7.47884130E-01, 2.77877909E-02
2.76913617E+00, 2.79036417E+00, 7.52964941E-01, 2.77242760E-02
2.79036417E+00, 2.81159878E+00, 7.54533980E-01, 2.76436933E-02
2.81159878E+00, 2.83283923E+00, 7.55438584E-01, 2.74528880E-02
2.83283923E+00, 2.85407098E+00, 7.57674328E-01, 2.73883704E-02
2.85407098E+00, 2.87530925E+00, 7.60093080E-01, 2.70248090E-02
2.87530925E+00, 2.89654298E+00, 7.61798717E-01, 2.69564398E-02
2.89654298E+00, 2.91777733E+00, 7.65992254E-01, 2.68784343E-02
2.91777733E+00, 2.93901226E+00, 7.66526084E-01, 2.66309300E-02
2.93901226E+00, 2.96024666E+00, 7.69411620E-01, 2.65141868E-02
2.96024666E+00, 2.98148142E+00, 7.70518980E-01, 2.64262557E-02
2.98148142E+00, 3.00271637E+00, 7.71684462E-01, 2.62332304E-02
3.00271637E+00, 3.02395009E+00, 7.74149646E-01, 2.61101225E-02
3.02395009E+00, 3.04518498E+00, 7.77645022E-01, 2.59144233E-02
3.04518498E+00, 3.06642057E+00, 7.80485185E-01, 2.59258641E-02
3.06642057E+00, 3.08765502E+00, 7.82842892E-01, 2.57363531E-02
3.08765502E+00, 3.10888857E+00, 7.84770701E-01, 2.57313423E-02
3.10888857E+00, 3.13012383E+00, 7.83573224E-01, 2.53830585E-02
3.13012383E+00, 3.15135829E+00, 7.88283350E-01, 2.54990351E-02
3.15135829E+00, 3.17259357E+00, 7.91479626E-01, 2.53094167E-02
3.17259357E+00, 3.19382781E+00, 7.88183689E-01, 2.50749283E-02
