wavelength (AA) lower bin boundary,  wavelength (AA) upper bin boundary,  Efficiency, rel. err.
2.42937898E+00, 2.45061668E+00, 1.10715015E-02, 7.64767577E-03
2.45061668E+00, 2.47184874E+00, 1.11599135E-02, 7.64800773E-03
2.47184874E+00, 2.49308341E+00, 1.12551304E-02, 7.64751577E-03
2.49308341E+00, 2.51432095E+00, 1.13662120E-02, 7.64392257E-03
2.51432095E+00, 2.53555251E+00, 1.14743993E-02, 7.64501566E-03
2.53555251E+00, 2.55678955E+00, 1.15663441E-02, 7.64386271E-03
2.55678955E+00, 2.57802457E+00, 1.16497206E-02, 7.64711394E-03
2.57802457E+00, 2.59926077E+00, 1.17683549E-02, 7.65011636E-03
2.59926077E+00, 2.62049147E+00, 1.18509710E-02, 7.64411872E-03
2.62049147E+00, 2.64173254E+00, 1.19570268E-02, 7.64684626E-03
2.64173254E+00, 2.66296756E+00, 1.20372982E-02, 7.64675385E-03
2.66296756E+00, 2.68420277E+00, 1.21415651E-02, 7.64862274E-03
2.68420277E+00, 2.70543363E+00, 1.22501446E-02, 7.64527082E-03
2.70543363E+00, 2.72666822E+00, 1.23351095E-02, 7.64497909E-03
2.72666822E+00, 2.74790335E+00, 1.24325803E-02, 7.64813788E-03
2.74790335E+00, 2.76913617E+00, 1.25277032E-02, 7.64372677E-03
2.76913617E+00, 2.79036417E+00, 1.26319091E-02, 7.64367002E-03
2.79036417E+00, 2.81159878E+00, 1.27382534E-02, 7.64824088E-03
2.81159878E+00, 2.83283923E+00, 1.28083269E-02, 7.64494246E-03
2.83283923E+00, 2.85407098E+00, 1.29278570E-02, 7.64430587E-03
2.85407098E+00, 2.87530925E+00, 1.29998670E-02, 7.64710288E-03
2.87530925E+00, 2.89654298E+00, 1.31101862E-02, 7.64657920E-03
2.89654298E+00, 2.91777733E+00, 1.32143167E-02, 7.63890508E-03
2.91777733E+00, 2.93901226E+00, 1.32948266E-02, 7.64326818E-03
2.93901226E+00, 2.96024666E+00, 1.33978598E-02, 7.64956466E-03
2.96024666E+00, 2.98148142E+00, 1.34891716E-02, 7.64311595E-03
2.98148142E+00, 3.00271637E+00, 1.35871724E-02, 7.64391286E-03
3.00271637E+00, 3.02395009E+00, 1.36952607E-02, 7.65215391E-03
3.02395009E+00, 3.04518498E+00, 1.37739375E-02, 7.64697616E-03
3.04518498E+00, 3.06642057E+00, 1.38840418E-02, 7.63988649E-03
3.06642057E+00, 3.08765502E+00, 1.39795397E-02, 7.64221679E-03
3.08765502E+00, 3.10888857E+00, 1.40670669E-02, 7.62860062E-03
3.10888857E+00, 3.13012383E+00, 1.41573337E-02, 7.64690776E-03
3.13012383E+00, 3.15135829E+00, 1.42615378E-02, 7.64245447E-03
3.15135829E+00, 3.17259357E+00, 1.43752585E-02, 7.64222273E-03
3.17259357E+00, 3.19382781E+00, 1.44375732E-02, 7.64518483E-03
3.19382781E+00, 3.21506147E+00, 1.45568337E-02, 7.64549040E-03
3.21506147E+00, 3.23629540E+00, 1.46585111E-02, 7.64267515E-03
3.23629540E+00, 3.25753093E+00, 1.47326596E-02, 7.64537512E-03
3.25753093E+00, 3.27876554E+00, 1.48489349E-02, 7.64021317E-03
3.27876554E+00, 3.29999909E+00, 1.49270450E-02, 7.64273632E-03
3.29999909E+00, 3.32123402E+00, 1.50064878E-02, 7.64331636E-03
3.32123402E+00, 3.34246875E+00, 1.51233242E-02, 7.64630018E-03
3.34246875E+00, 3.36370424E+00, 1.52191867E-02, 7.64462121E-03
3.36370424E+00, 3.38493714E+00, 1.53204937E-02, 7.64519391E-03
3.38493714E+00, 3.40617382E+00, 1.53944888E-02, 7.64421625E-03
3.40617382E+00, 3.42740671E+00, 1.55098620E-02, 7.63931970E-03
3.42740671E+00, 3.44864303E+00, 1.55972593E-02, 7.64249938E-03
3.44864303E+00, 3.46987552E+00, 1.56763274E-02, 7.64231102E-03
3.46987552E+00, 3.49111230E+00, 1.57687811E-02, 7.64562684E-03
3.49111230E+00, 3.51234652E+00, 1.58662572E-02, 7.63166167E-03
3.51234652E+00, 3.53357918E+00, 1.59843945E-02, 7.64146713E-03
3.53357918E+00, 3.55481443E+00, 1.60545955E-02, 7.63856482E-03
3.55481443E+00, 3.57604859E+00, 1.61570907E-02, 7.64189607E-03
3.57604859E+00, 3.59728370E+00, 1.62409580E-02, 7.63902260E-03
3.59728370E+00, 3.61851933E+00, 1.63372004E-02, 7.64276144E-03
3.61851933E+00, 3.63975233E+00, 1.64292098E-02, 7.64046353E-03
3.63975233E+00, 3.66098861E+00, 1.65131472E-02, 7.63627751E-03
3.66098861E+00, 3.68222254E+00, 1.66440383E-02, 7.64099575E-03
3.68222254E+00, 3.70345766E+00, 1.67077551E-02, 7.63914706E-03
3.70345766E+00, 3.72469171E+00, 1.67882306E-02, 7.64342787E-03
3.72469171E+00, 3.74592572E+00, 1.68833126E-02, 7.63790339E-03
3.74592572E+00, 3.76716105E+00, 1.69665080E-02, 7.64144604E-03
3.76716105E+00, 3.78839606E+00, 1.70820614E-02, 7.63971821E-03
3.78839606E+00, 3.80962924E+00, 1.71714461E-02, 7.64026673E-03
3.80962924E+00, 3.83086263E+00, 1.72471019E-02, 7.63916601E-03
3.83086263E+00, 3.85209865E+00, 1.73449271E-02, 7.64335179E-03
3.85209865E+00, 3.87333302E+00, 1.74309748E-02, 7.64694905E-03
3.87333302E+00, 3.89456857E+00, 1.75102649E-02, 7.64510685E-03
3.89456857E+00, 3.91580125E+00, 1.76018809E-02, 7.64319032E-03
3.91580125E+00, 3.93703809E+00, 1.77175826E-02, 7.63780676E-03
3.93703809E+00, 3.95827168E+00, 1.77922369E-02, 7.64112930E-03
3.95827168E+00, 3.97950584E+00, 1.78869563E-02, 7.63853004E-03
3.97950584E+00, 4.00074098E+00, 1.79525428E-02, 7.64174307E-03
4.00074098E+00, 4.02197372E+00, 1.80607129E-02, 7.64091626E-03
4.02197372E+00, 4.04320875E+00, 1.81512717E-02, 7.63816286E-03
4.04320875E+00, 4.06444304E+00, 1.82341209E-02, 7.63662328E-03
