7.306E-01,2.841E-01,0.00
7.519E-01,2.908E-01,0.002
7.731E-01,2.975E-01,0.0018
7.943E-01,3.041E-01,0.0017
8.156E-01,3.108E-01,0.0015
8.368E-01,3.170E-01,0.0014
8.580E-01,3.233E-01,0.0013
8.793E-01,3.296E-01,0.0012
9.005E-01,3.359E-01,0.0012
9.217E-01,3.421E-01,0.0011
9.430E-01,3.482E-01,0.0011
9.642E-01,3.543E-01,0.001
9.854E-01,3.602E-01,0.001
1.007E+00,3.662E-01,0.001
1.028E+00,3.720E-01,0.0009
1.049E+00,3.778E-01,0.0009
1.070E+00,3.836E-01,0.0009
1.092E+00,3.893E-01,0.0009
1.113E+00,3.949E-01,0.0009
1.134E+00,4.006E-01,0.0009
1.155E+00,4.059E-01,0.0009
1.177E+00,4.115E-01,0.0008
1.198E+00,4.168E-01,0.0008
1.219E+00,4.223E-01,0.0008
1.240E+00,4.274E-01,0.0008
1.262E+00,4.328E-01,0.0008
1.283E+00,4.379E-01,0.0008
1.304E+00,4.431E-01,0.0008
1.325E+00,4.481E-01,0.0008
1.346E+00,4.531E-01,0.0008
1.368E+00,4.580E-01,0.0008
1.389E+00,4.629E-01,0.0008
1.410E+00,4.678E-01,0.0008
1.431E+00,4.726E-01,0.0008
1.453E+00,4.775E-01,0.0009
1.474E+00,4.822E-01,0.0009
1.495E+00,4.868E-01,0.0009
1.516E+00,4.916E-01,0.0009
1.538E+00,4.959E-01,0.0009
1.559E+00,5.005E-01,0.0009
1.580E+00,5.051E-01,0.0009
1.601E+00,5.093E-01,0.0009
1.623E+00,5.137E-01,0.0009
1.644E+00,5.181E-01,0.0009
1.665E+00,5.228E-01,0.0009
1.686E+00,5.267E-01,0.0009
1.707E+00,5.310E-01,0.0009
1.729E+00,5.348E-01,0.001
1.750E+00,5.394E-01,0.001
1.771E+00,5.434E-01,0.001
1.792E+00,5.473E-01,0.001
1.814E+00,5.511E-01,0.001
1.835E+00,5.553E-01,0.001
1.856E+00,5.591E-01,0.001
1.877E+00,5.631E-01,0.001
1.899E+00,5.669E-01,0.0011
1.920E+00,5.706E-01,0.0011
1.941E+00,5.742E-01,0.0011
1.962E+00,5.780E-01,0.0011
1.984E+00,5.818E-01,0.0011
2.005E+00,5.850E-01,0.0011
2.026E+00,5.889E-01,0.0011
2.047E+00,5.926E-01,0.0012
2.068E+00,5.959E-01,0.0012
2.090E+00,5.991E-01,0.0012
2.111E+00,6.028E-01,0.0012
2.132E+00,6.061E-01,0.0012
2.153E+00,6.094E-01,0.0012
2.175E+00,6.133E-01,0.0012
2.196E+00,6.162E-01,0.0013
2.217E+00,6.196E-01,0.0013
2.238E+00,6.229E-01,0.0013
2.260E+00,6.258E-01,0.0013
2.281E+00,6.292E-01,0.0013
2.302E+00,6.322E-01,0.0013
2.323E+00,6.354E-01,0.0014
2.344E+00,6.386E-01,0.0014
2.366E+00,6.419E-01,0.0014
2.387E+00,6.448E-01,0.0014
2.408E+00,6.476E-01,0.0014
2.429E+00,6.507E-01,0.0014
2.451E+00,6.531E-01,0.0015
2.472E+00,6.562E-01,0.0015
2.493E+00,6.585E-01,0.0015
2.514E+00,6.616E-01,0.0015
2.536E+00,6.639E-01,0.0015
2.557E+00,6.674E-01,0.0016
2.578E+00,6.701E-01,0.0016
2.599E+00,6.728E-01,0.0016
2.621E+00,6.763E-01,0.0016
2.642E+00,6.782E-01,0.0016
2.663E+00,6.804E-01,0.0017
2.684E+00,6.836E-01,0.0017
2.705E+00,6.855E-01,0.0017
2.727E+00,6.892E-01,0.0017
2.748E+00,6.918E-01,0.0017
2.769E+00,6.937E-01,0.0018
2.790E+00,6.950E-01,0.0018
2.812E+00,6.977E-01,0.0018
2.833E+00,6.998E-01,0.0018
2.854E+00,7.029E-01,0.0019
2.875E+00,7.049E-01,0.0019
2.897E+00,7.076E-01,0.0019
2.918E+00,7.113E-01,0.0019
2.939E+00,7.116E-01,0.0019
2.960E+00,7.149E-01,0.002
2.982E+00,7.165E-01,0.002
3.003E+00,7.186E-01,0.002
3.024E+00,7.213E-01,0.002
3.045E+00,7.242E-01,0.0021
3.066E+00,7.243E-01,0.0021
3.088E+00,7.271E-01,0.0021
3.109E+00,7.304E-01,0.0021
3.130E+00,7.312E-01,0.0022
3.151E+00,7.341E-01,0.0022
3.173E+00,7.344E-01,0.0022
3.194E+00,7.379E-01,0.0022
3.215E+00,7.398E-01,0.0023
3.236E+00,7.428E-01,0.0023
3.258E+00,7.445E-01,0.0023
3.279E+00,7.456E-01,0.0023
3.300E+00,7.474E-01,0.0024
3.321E+00,7.497E-01,0.0024
3.343E+00,7.510E-01,0.0024
3.364E+00,7.529E-01,0.0024
3.385E+00,7.548E-01,0.0025
3.406E+00,7.562E-01,0.0025
3.427E+00,7.595E-01,0.0025
3.449E+00,7.589E-01,0.0025
3.470E+00,7.620E-01,0.0026
3.491E+00,7.630E-01,0.0026
3.512E+00,7.654E-01,0.0026
3.534E+00,7.661E-01,0.0027
3.555E+00,7.691E-01,0.0027
3.576E+00,7.703E-01,0.0027
3.597E+00,7.723E-01,0.0027
3.619E+00,7.726E-01,0.0028
3.640E+00,7.745E-01,0.0028
3.661E+00,7.754E-01,0.0028
3.682E+00,7.784E-01,0.0029
3.704E+00,7.808E-01,0.0029
3.725E+00,7.814E-01,0.0029
3.746E+00,7.837E-01,0.0029
3.767E+00,7.840E-01,0.003
3.788E+00,7.858E-01,0.003
3.810E+00,7.867E-01,0.003
3.831E+00,7.893E-01,0.0031
3.852E+00,7.900E-01,0.0031
