wl[Å],meas. Brilliance (no average),error (no smooth),rel. error (no smooth),meas. Brilliance (0.1Å average),error (5ch=0.1AA smooth),rel. error (5ch=0.1AA smooth)
1.8758730159,3.95E+011,4.12E+010,0.1042862112,346946662292.916,28423192926.8502,0.0819238114
1.8973409307,3.44E+011,4.02E+010,0.1169146547,352881346948.667,28262537976.0313,0.0800907677
1.9188088455,3.08E+011,4.06E+010,0.1318984366,356247762261.26,28091163147.3909,0.0788528831
1.9402767603,3.81E+011,4.00E+010,0.1050733356,341674670362.979,27824350979.1645,0.0814352172
1.9617446751,3.54E+011,4.09E+010,0.1156719728,336561441145.838,27614538206.2853,0.0820490253
1.9832125899,3.22E+011,3.97E+010,0.1233363036,331155086798.239,27406264939.8313,0.0827596073
2.0046805047,3.19E+011,3.88E+010,0.1217901045,314140176360.583,27138769728.2957,0.0863906363
2.0261484195,2.80E+011,4.00E+010,0.1425110186,306558050247.207,26928719625.7814,0.0878421545
2.0476163343,2.96E+011,3.92E+010,0.1325773297,305478019614.78,26758892693.0097,0.0875967859
2.0690842491,3.16E+011,3.84E+010,0.1217779361,303880073386.757,26589803694.4506,0.0875009783
2.0905521639,3.17E+011,3.82E+010,0.1205500769,312916830144.678,26483754160.3428,0.0846351222
2.1120200787,3.11E+011,3.72E+010,0.1199088263,313178788022.354,26331448258.0497,0.0840780068
2.1334879935,3.26E+011,3.73E+010,0.114687008,300023012095.32,26106890412.8565,0.0870162933
2.1549559083,2.97E+011,3.75E+010,0.1262454843,290264184094.681,25905398472.9722,0.0892476575
2.1764238231,2.50E+011,3.74E+010,0.1495442046,286100374476.782,25739137505.2181,0.08996541
2.1978917379,2.68E+011,3.71E+010,0.1384048908,278071021711.315,25554542205.9522,0.0918993358
2.2193596527,2.90E+011,3.72E+010,0.1283133697,266174909979.23,25350235132.1227,0.0952390108
2.2408275675,2.86E+011,3.65E+010,0.127731537,277582087427.021,25280876886.8395,0.091075318
2.2622954823,2.38E+011,3.54E+010,0.1487585636,276210760010.317,25141632363.1026,0.0910233633
2.2837633971,3.07E+011,3.56E+010,0.1158803949,276088304898.7,25012955557.2609,0.0905976643
2.3052313119,2.61E+011,3.58E+010,0.1372665407,271208122450.039,24859778128.0176,0.0916631032
2.3266992267,2.89E+011,3.56E+010,0.1230689627,279588578521.431,24783442311.2165,0.088642542
2.3481671415,2.61E+011,3.45E+010,0.1321426873,275472252173.33,24640303342.6554,0.0894474966
2.3696350563,2.80E+011,3.57E+010,0.1275648062,276072696613.379,24525286311.4314,0.0888363341
2.3911029711,2.86E+011,3.47E+010,0.1210300833,267663623549.035,24362280178.9524,0.0910182708
2.4125708859,2.64E+011,3.51E+010,0.1327697216,270365538236.324,24264181459.7607,0.0897458368
2.4340388007,2.47E+011,3.44E+010,0.1390832677,261583888922.801,24103593708.434,0.0921447946
2.4555067155,2.75E+011,3.46E+010,0.1259452646,258757248837.078,23979420159.6279,0.0926714914
2.4769746303,2.36E+011,3.46E+010,0.1466084507,265043783311.697,23908622649.6273,0.0902063137
2.4984425451,2.72E+011,3.40E+010,0.1249484041,263205080447.696,23793253240.0192,0.0903981534
2.5199104599,2.95E+011,3.36E+010,0.1135690764,253882055317.794,23638213312.2758,0.0931070661
2.5413783747,2.38E+011,3.40E+010,0.1427143287,258468973857.632,23563344744.3711,0.0911650803
2.5628462895,2.28E+011,3.31E+010,0.1450641536,245720063208.253,23392853032.2757,0.0952012332
2.5843142043,2.59E+011,3.37E+010,0.1300591059,238725559820.426,23257683390.2924,0.0974243538
2.6057821191,2.08E+011,3.40E+010,0.1629772829,236012629749.979,23147511333.3446,0.0980774264
2.6272500339,2.60E+011,3.28E+010,0.1257380701,237852840728.901,23064855068.4998,0.0969711146
2.6487179487,2.24E+011,3.24E+010,0.1445879634,235099127281.781,22958496542.3922,0.0976545375
2.6701858635,2.37E+011,3.29E+010,0.1387861089,244203662827.729,22920071899.1583,0.0938563805
2.6916537783,2.45E+011,3.18E+010,0.1298953653,240991652890.742,22814397455.2123,0.0946688285
2.7131216931,2.54E+011,3.27E+010,0.1288609649,247281343763.56,22763432381.1044,0.0920547908
2.7345896079,2.44E+011,3.19E+010,0.1305979927,242484319940.652,22651465506.631,0.0934141453
2.7560575227,2.56E+011,3.21E+010,0.1253428122,231581941537.171,22506711921.1879,0.0971868176
2.7775254375,2.13E+011,3.21E+010,0.1505873645,219478688170.859,22356938781.1087,0.1018638254
2.7989933523,1.90E+011,3.22E+010,0.1689252654,217400649576.324,22265598435.7543,0.1024173501
2.8204612671,1.93E+011,3.19E+010,0.164843263,207809416297.423,22133210963.5142,0.1065072573
2.8419291819,2.34E+011,3.20E+010,0.1367970023,211649917996.159,22078002796.0717,0.1043137791
2.8633970967,2.08E+011,3.11E+010,0.1495650416,221802299034.624,22059425632.1628,0.0994553516
2.8848650115,2.32E+011,3.05E+010,0.1313938035,233114285218.956,22048415043.3412,0.0945819988
2.9063329263,2.41E+011,3.05E+010,0.1264431778,232102917134.367,21969522331.2148,0.0946542275
2.9278008411,2.50E+011,3.12E+010,0.1248244644,229762227413.01,21883942309.8785,0.09524604
2.9492687559,2.29E+011,3.06E+010,0.1336790195,230674001442.277,21818486063.1444,0.0945858048
2.9707366707,1.96E+011,3.10E+010,0.1580409645,226130682364.928,21723589972.9839,0.09606653
2.9922045855,2.37E+011,3.11E+010,0.1311522336,223701138867.56,21642063476.0145,0.0967454327
3.0136725003,2.19E+011,3.12E+010,0.1426003467,212431620308.14,21511357331.2564,0.1012625018
3.0351404151,2.38E+011,3.07E+010,0.1289346418,214643999171.198,21457722312.5208,0.0999688899
